Período,Sección,Ciclo,Edad,Estatura (cm),Peso (kg),Signo del zodiaco,Sexo,Carrera,Tiempo de reacción,Juega videojuegos,Hace deporte,Color favorito,Talla de zapato,Talla de polo,Sistema operativo,Fecha de nacimiento,Indicaciones,,
2020.1,5,3,22,175,60,Libra,M,Ing. Electronica,303,Si,No,,,,,,FALSE,,
2020.2,4,3,22,175,95,Aries,M,CS,210,Si,Si,,,,,,FALSE,,
2020.2,1,4,18,166,70,Cáncer,M,Ciencia de la Computación,236,Sí,No,,,,,,FALSE,,
2020.2,5,3,20,165,55,Virgo,M,Ing. de la Energía,285,Sí,Sí,,,,,,FALSE,,
2020.2,3,4,18,170,65,Virgo,M,Bioingeniería,300,Sí,Sí,,,,,,FALSE,,
2020.2,2,8,21,170,70,Acuario,M,Ing. Mecatrónica,264,si,si,,,,,,FALSE,,
2020.1,3,3,18,157,51,Sagitario,F,Ing. Civil,257.6,Si,No,,,,,,FALSE,,
2020.2,3,3,18,173,65,Leo,M,Ing. Mecatrónica,256,si,no,,,,,,FALSE,,
2020.2,1,7,22,190,74,Cáncer,M,Ing. Mecánica,223,Sí,Sí,,,,,,FALSE,,
2020.1,1,7,22,173,62,Arias,M,Ciencia de la Computación ,316,Si,Si,,,,,,FALSE,,
2020.2,5,3,19,179,56,Aries,M,Ing. Civil,280,Si,Si,,,,,,FALSE,,
2020.2,4,3,18,172,62,Sagitario,M,Ing. Mecánica,,Si,Si,,,,,,FALSE,,
2020.2,4,3,21,174,92,Leo,M,Ing. Electrónica,272,Sí,Sí,,,,,,FALSE,,
2020.2,5,4,18,178,80,acuario,M,Ciencias de la Computación,236,sí,sí,,,,,,FALSE,,
2021.1,2,3,18,175,73,Aries,M,Ing. Ambiental,276,Si,Si,,,,,,FALSE,,
2020.2,4,3,18,179,74,Capricornio,M,Ciencia de la Computación,250,Si,Si,,,,,,FALSE,,
2020.2,1,4,19,170,50,Cancer,M,Ciencia de la Computación,300,si,si,,,,,,FALSE,,
2020.1,3,3,18,170,70,Virgo,M,Ing Ambiental,289,Si,Si,,,,,,FALSE,,
2020.1,3,3,18,170,70,Virgo,M,Ing Ambiental,250,Si,Si,,,,,,FALSE,,
2020.2,3,4,18,162,60,Leo,F,Ciencia de la Computación,285,no,no,,,,,,FALSE,,
2020.2,1,6,21,175,85,Capricornio,M,Ing. Industrial,236,si,no,,,,,,FALSE,,
2020.1,5,6,21,175,88,Capricornio,M,Ing. Industrial,238,Si,No,,,,,,FALSE,,
2020.1,3,5,19,172,74,Piscis,M,ing.Civil,298,Si,Si,,,,,,FALSE,,
2020.2,4,3,20,169,87,Geminis,M,Ing. Civil,,,,,,,,,FALSE,,
2020.2,5,4,18,170,70,Libra,M,Ing. Civil,296,si,si,,,,,,FALSE,,
2020.2,1,6,20,178,75,Virgo,M,Ing.Industrial,243,si,si,,,,,,FALSE,,
2020.1,2,3,18,185,56,Libra,M,Ing. Electrónica,242,Si,No,,,,,,FALSE,,
2020.1,5,7,20,171,68,Acuario,M,Ciencias de la computación,199,Si,No,,,,,,FALSE,,
2020.1,5,2,20,162,68,Piscis,M,Ciencia de la Computación,373,Si,No,,,,,,FALSE,,
2020.2,3,4,19,176,,Libra,M,Ing. Química,,Si,Si,,,,,,FALSE,,
2020.1,3,3,18,174,64,,M,Ing. Electronica,0.187,Si,Si,,,,,,FALSE,,
2020.1,1,5,20,183,66,Sagitario,M,Ing. Electronica,285,si,No,,,,,,FALSE,,
2020.1,1,3,18,161,55,Capricornio,F,Ing. Mecatrónica,242,si,no,,,,,,FALSE,,
2020.1,5,5,20,178,62,Geminis,M,Ing.Electrónica,320,si,si,,,,,,FALSE,,
2020.1,5,7,21,151,59,virgo,F,Ing. Química ,215,no,si,,,,,,FALSE,,
2020.1,5,3,23,156,57,Piscis,F,Bioingeniería,274,No,No,,,,,,FALSE,,
2021.1,3,3,18,176,72,Virgo,M,Ing. Civil,254,Sí,Sí,,,,,,FALSE,,
2021.1,5,5,18,163,62,Tauro,M,Ciencia de la Computación,242,Si,Si,,,,,,FALSE,,
2020.1,2,3,17,160,60,Virgo,F,Ing. Industrial,241,No,No,,,,,,FALSE,,
2020.1,3,3,18,172,64,Sagitario,M,Ing.Mecatrónica,220,Si,Sí,,,,,,FALSE,,
2020.2,1,6,20,170,70,Aries,M,Ing. Industrial,270,si,no,,,,,,FALSE,,
2020.2,1,4,18,175,84,Piscis,M,Ciencias de la Computación,289,sí,no,,,,,,FALSE,,
2020.1,5,3,18,180,96,Sagitario,M,Ing.Mecatrónica,231,Si,Si,,,,,,FALSE,,
2020.1,1,3,18,170,61,capricornio ,M,Ingeniería mecatrónica ,249,Si,No,,,,,,FALSE,,
2020.2,1,4,18,169,61,Capricornio,M,Ing Mecatronica,233,si,no,,,,,,FALSE,,
2020.2,4,3,18,156,51,Sagitario,F,Bioingeniería,267,no,si,,,,,,FALSE,,
2020.2,3,3,20,175,79,Acuario,M,Ing. Mecatronica,266,si,no,,,,,,FALSE,,
2020.1,6,5,19,175,70,Acuario ,M,Ing. Mecánica,283,Sí,Sí,,,,,,FALSE,,
2020.1,5,3,22,178,78,Sagitario,M,Ingeniería Química,268,No,Si,,,,,,FALSE,,
2020.2,3,3,19,160,65,Leo,M,Ing.Mecatronica,325,Si,Si,,,,,,FALSE,,
2020.1,1,3,18,173,50,Piscis,M,Ing. Mecatrónica,271,Sí,No,,,,,,FALSE,,
2020.1,2,3,17,170,60,Aries,M,Ing.Mecanica,363,si,si,,,,,,FALSE,,
2020.1,2,6,21,169,72,Virgo,M,Ing. Electronica,412,Si,no,,,,,,FALSE,,
2021.1,2,5,26,180,100,Virgo,M,Ing. Industrial,130,Si,No,,,,,,FALSE,,
2021.1,2,4,21,1.71,52,Tauro,M,Ing Industrial,308,Si,No,,,,,,FALSE,,
2020.1,3,3,17,170,74,Cancer,M,Ing.Electrónica,320,si,si,,,,,,FALSE,,
2021.1,2,5,18,179,74,Cancer,M,Ciencia de la Computación,244,Si,No,,,,,,FALSE,,
2020.2,3,8,20,173,60,Libra,M,Ing. Electrónica,265,si,si,,,,,,FALSE,,
2021.1,1,5,19,172,95,Sagitario,M,Ing. Ambiental,305,Sí,Sí,,,,,,FALSE,,
2020.2,1,4,18,174,67,Aries,M,Bioingeniería,216,Si,Si,,,,,,FALSE,,
2020.1,1,5,21,170,88,Libra,M,Ing.Mecánica,426,Si,No,,,,,,FALSE,,
2020.2,3,6,21,160,75,Libra,M,Ing. Mecanica,315,Si,No,,,,,,FALSE,,
2020.1,5,3,19,168,66,Libra,M,Ing. Mecatronica,,Si,Si,,,,,,FALSE,,
2021.1,3,3,17,165,65,Sagitario,M,Ing.Civil,221,Sí,Sí,,,,,,FALSE,,
2020.2,2,2,18,171,75,Escorpion,M,Ing.Mecatronica,286.4,Si,Si,,,,,,FALSE,,
2020.2,1,6,19,173,66,Acuario,M,Ing.Ambiental,180,No,Si,,,,,,FALSE,,
2020.2,5,4,18,182,79,Tauro,M,Ing. Mecatronica,189,si,no,,,,,,FALSE,,
2020.1,3,5,19,166,50,Capricornio,F,Ing. Ambiental,472,No,No,,,,,,FALSE,,
2020.1,5,3,18,154,50,Piscis,F,Ing. Industrial,448,Si,no,,,,,,FALSE,,
2020.2,5,4,18,,,Géminis,M,Ing. Industrial,,si,si,,,,,,FALSE,,
2021.1,2,3,20,182,68,Capricornio,M,Ing. Industrial,260,No,Si,,,,,,FALSE,,
2021.1,5,5,19,171,70,Escorpio,M,Ing. Mecatrónica,281,Si,Si,,,,,,FALSE,,
2020.1,5,5,18,159,60,Libra,F,Ing. Industrial,299,No,no,,,,,,FALSE,,
2020.1,1,5,19,158,53,Escorpio,F,Bioingeniería,288,No,Sí,,,,,,FALSE,,
2021.1,4,5,19,174,76,Sagitario,M,Ciencia de la Computación,178,Si,No,,,,,,FALSE,,
2020.2,2,2,19,,,Virgo,M,Ciencias de la computacion,,,,,,,,,FALSE,,
2020.1,3,5,19,172,85,escorpio,M,mecatronica,257.8,si,si,,,,,,FALSE,,
2020.1,5,4,19,180,77,Libra,M,Ing. Industrial,286,Si,Si,,,,,,FALSE,,
2020.1,,,23,166,73,Tauro,M,Ing. Mecatrónica,292,No,No,,,,,,FALSE,,
,1,6,20,172,75,Tauro,M,Ing. Industrial,196,sí,sí,,,,,,FALSE,,
2020 2,5,3,18,180,70,Capricornio,M,Ing. Industrial,271,si,si,,,,,,FALSE,,
2020.2,1,5,19,170,80,Tauro,M,Ing. de la Energía,,no,si,,,,,,FALSE,,
2020.1,2,4,19,178,88,Libra,M,Ing. Química,350,Si,No,,,,,,FALSE,,
2020.1,3,4,18,169,51,Tauro,F,Ing. Ambiental,265,No,No,,,,,,FALSE,,
2020.2,5,3,18,172,80,Capricornio ,M,Ing. Industrial ,363,si,no,,,,,,FALSE,,
2021.1,4,3,17,171,61,Tauro,M,Ing. Mecatrónica,260,Si,Si,,,,,,FALSE,,
2020.2,3,5,19,177,85,virgo,M,Ing. Química,255,no,no,,,,,,FALSE,,
2020.1,5,3,18,165,74,Virgo,M,Ing. Civil,336,Sí,Sí,,,,,,FALSE,,
2020.1,5,3,18,165,75,Virgo,M,Ing. Civil,333,Sí,Sí,,,,,,FALSE,,
2020.1,3,5,19,175,80,Leo,M,Ing. Mecatrónica,309,Sí,No,,,,,,FALSE,,
2020.2,5,6,19,179,72,Ofiuco,M,Ing. Industrial,315,si,si,,,,,,FALSE,,
2020.2,1,,20,165,73,Tauro,M,Ingeniería Civil,275,Si,Si,,,,,,FALSE,,
2020.2,2,2,18,168,70,Cáncer,F,Bioingeniería,395,Si,Si,,,,,,FALSE,,
2020.1,1,3,18,176,85,Escorpio,M,Bioingeniería,307.6,si,si,,,,,,FALSE,,
2020.2,2,3,18,170,67,Cancer,M,Ing. Mecánica,,si,No,,,,,,FALSE,,
,1,6,20,177,,Sagitario,M,Ing. Mecatronica,278,Si,Si,,,,,,FALSE,,
2020.1,6,5,20,170,59,Capriornio,M,Ing. Industrial,214,No,Si,,,,,,FALSE,,
2020.2,2,2,17,170,70,,M,Ing. Mecatrónica,325,Sí,No,,,,,,FALSE,,
2020.1,2,3,17,179,87,Géminis,M,Ing. Mecánica,424,Sí,No,,,,,,FALSE,,
2020.2,3,5,20,165,48,Libra,F,Ing. Industrial,,no,si,,,,,,FALSE,,
2020.1,1,3,17,172,68,Geminis,M,Ing. Mecatronica,276,Si,No,,,,,,FALSE,,
2020.2,2,2,17,178,80,Aries,M,Bioingeniería,25,si,si,,,,,,FALSE,,
2020.2,1,6,18,159,53,Libra,F,Ing. Ambiental,290,Sí,No,,,,,,FALSE,,
2021.1,4,3,18,183,71,Virgo,M,Ciencias de la computación,168,Si,Si,,,,,,FALSE,,
2020.2,3,2,18,165,80,-,F,Bioingeniería,,Sí,No,,,,,,FALSE,,
2020.1,1,3,18,158,53,Piscis,F,Bioingeniería,307,No,Si,,,,,,FALSE,,
2020.1,1,3,18,181,88,Cancer,M,Bioingenieria,378,No,Si,,,,,,FALSE,,
2021.1,2,5,19,164,65,Cancer,F,Ing. Ambiental,234,sí,sí,,,,,,FALSE,,
2020.2,5,5,22,165,66,Acuario,M,Ing. Industrial,,si,si,,,,,,FALSE,,
2020.2,3,5,19,178,64,Tauro,M,Ing. Civil,341,Si,Si,,,,,,FALSE,,
2020.1,6,7,25,169,75,Tauro,M,Ing. Industrial,319,SI,No,,,,,,FALSE,,
2020.2,3,8,19,172,59,Libra,M,Ing de la Energía ,468,No,Si,,,,,,FALSE,,
2020.2,1,4,19,175,90,Virgo,M,Ciencias de la Computación,220,sí,no,,,,,,FALSE,,
2020.1,2,5,20,181,80,Acuario,M,Ing. Industrial,327,No,Si,,,,,,FALSE,,
2020.2,2,4,20,170,85,Virgo,M,Ing. Industrial,,si,no,,,,,,FALSE,,
2021.1,5,3,18,177,,Virgo,M,Ciencia de la Computación,,Si,No,,,,,,FALSE,,
2020.1,6,3,21,183,78,Acuario,M,Ing.Industrial,299,Si,Si,,,,,,FALSE,,
2021.1,3,5,22,183,80,Acuario,NB,Ing. Industrial,221,No,No,,,,,,FALSE,,
2021.1,2,3,17,164,55,Tauro,F,Bioingeniería,245,Sí,No,,,,,,FALSE,,
2020.1,5,3,18,173,76,Acuario,M,CS,313,No,No,,,,,,FALSE,,
2020.2,5,3,20,160,60,Leo,F,Ing. Industrial,281,no,si,,,,,,FALSE,,
2020.2,4,3,18,180,77,Geminis,M,Ing. Ambiental,,Si,No,,,,,,FALSE,,
2020.1,3,4,18,173,61,Tauro,M,Ciencia de la Computación,275,Sí,Sí,,,,,,FALSE,,
2021.1,3,3,17,170,65,Geminis,M,Ing. Civil,263,Sí,Sí,,,,,,FALSE,,
2020.1,3,3,19,178,74,Virgo,M,Ing. Industrial,262,No,Si,,,,,,FALSE,,
2020.2,5,3,18,156,80,Piscis,F,Ing. Industrial,250,No,Si,,,,,,FALSE,,
2020.1,2,3,18,175,90,Leo,M,Ing. Electrónica,202,Si,No,,,,,,FALSE,,
2020.2,3,4,19,163,49,Acuario,F,Ing. Energia,328,no,si,,,,,,FALSE,,
2020.1,3,3,19,171,50,Capricornio,M,Ing. Mecatrónica,243,Sí,Sí,,,,,,FALSE,,
2020.2,1,6,20,165,58,Leo,F,Ing. Ambiental,247,si,si,,,,,,FALSE,,
2021.1,4,3,18,184,75,Sagitario,M,Ing. Mecatrónica,248,Si,No,,,,,,FALSE,,
2020.1,2,3,17,169,61,Tauro,M,Ing. energía,365,si,No,,,,,,FALSE,,
2020.1,2,3,18,173,78,Sagitario,M,Ing.Mecatronica,472,Si,Si,,,,,,FALSE,,
2020.1,1,3,17,160,61,Cancer,M,Ing. Química ,259,Si,SI,,,,,,FALSE,,
2020-2,2,2,18,162,67,Escorpion,M,Ing.Mecanica,290,si,si,,,,,,FALSE,,
2020.2,3,3,18,170,85,Escorpio,M,Ing. Química,229,Sí,no,,,,,,FALSE,,
2020.2,3,6,20,178,62,Cáncer,M,Ing. Ambiental,338,,,,,,,,FALSE,,
2020.2,1,7,22,175,67,Libra,F,Ing.Electrónica,,,,,,,,,FALSE,,
2020.2,5,4,21,167,50,capricornio,M,ing. mecánica,305,si,si,,,,,,FALSE,,
2020.1,3,5,19,162,46,Piscis,F,Ing. Ambiental,297,No,No,,,,,,FALSE,,
2020.2,1,6,19,162,47,Piscis,F,Ing. Ambiental,230,No,No,,,,,,FALSE,,
2020.1,3,5,19,162,46,Piscis,F,Ingeniería Ambiental,247,No,No,,,,,,FALSE,,
2020.1,2,3,18,160,55,Acuario,F,Bioingeniería,303,No,Sí,,,,,,FALSE,,
2020.1,4,3,18,188,79,Geminis,M,Ing. Civil ,349,Si,Si,,,,,,FALSE,,
2020.1,6,5,18,168,60,Geminis,M,Ing. industrial,261,Si,No,,,,,,FALSE,,
2020.1,2,5,25,170,74,Virgo,M,Ciencias de la Computación,298,No,Si,,,,,,FALSE,,
2020.1,5,4,20,178,69,Aries,M,Ciencia de la Computación,237,Si,si,,,,,,FALSE,,
2020.2,3,3,18,160,66,Aries,M,Ing. civil,324,Si,Si,,,,,,FALSE,,
2020.2,5,4,23,181,78,geminis,M,Ing Mecanica,,si,si,,,,,,FALSE,,
2020.1,3,3,17,178,82,Escorpio,M,Ing. Mecatronica ,370,No,Si,,,,,,FALSE,,
2020.1,3,3,18,172,72,Capricornio,M,Ing. Mecatrónica,249,Sí,si,,,,,,FALSE,,
2020.2,5,3,18,170,70,Capricornio,M,Ing.Industrial,283,si,si,,,,,,FALSE,,
2021.1,4,3,18,157,54,Escorpio,F,Ing. Energía,542,Si,No,,,,,,FALSE,,
2020.1,4,3,17,175,78,Tauro,M,Ing. Civil,359,No,No,,,,,,FALSE,,
2020.2,3,4,18,176,75,Tauro,M,Ing. Civil,414,no,si,,,,,,FALSE,,
2020.2,2,4,19,175,75,Acuario,M,Ciencias de la Computación,242,si,si,,,,,,FALSE,,
2021.1,1,5,20,181,80,Leo,M,Bioingeniería ,216,Si,No,,,,,,FALSE,,
2020.1,2,3,18,154,55,Capriornio,F,Ing. Civil,361,No,Si,,,,,,FALSE,,
2021.1,3,3,21,157,50,Cancer,F,Ing. Ambiental,304,Si,Si,,,,,,FALSE,,
2020.1,2,3,17,150,45,Virgo,F,Ing. Industrial,243,Si,Si,,,,,,FALSE,,
2020.1,,,,170,63,Acuario,F,,347,Si,No,,,,,,FALSE,,
2020.2,,,,170,65.5,Acuario,F,,297,Si,No,,,,,,FALSE,,
2020.1,3,3,17,166,53,Libra,F,Igenieria Ambiental,218,Sí,Sí,,,,,,FALSE,,
2020.2,5,3,20,178,100,Libra,M,Ing.Quimica,,No,Si,,,,,,FALSE,,
2020.1,3,3,18,161,74,Sagitario,M,Ing. Ambiental,283,Si,No,,,,,,FALSE,,
2020.1,1,3,18,170,63,Sagitario,M,Ing. Industrial,269,Si,,,,,,,FALSE,,
2021.1,1,5,19,171,60,Sagitario,M,Ing. Industrial,260,Si,Si,,,,,,FALSE,,
2020.2,5,4,19,177,65,Cáncer,M,Bioingeniería,252,si,no,,,,,,FALSE,,
2020.2,2,4,18,170,68,Escorpion,M,Ing. Mecatronica,221,Si,No,,,,,,FALSE,,
2020.2,5,3,31,160,75,Capricornio,M,Bioingenieria ,228,si,si,,,,,,FALSE,,
2020.2,3,3,23,169,92,Aries,M,Ing. Mecatrónica,382,Si,No,,,,,,FALSE,,
,5,5,19,179,64,Sagitario,M,Ing. Mecatónica,221,si,si,,,,,,FALSE,,
2020.1,3,5,19,178,62,Sagitario,M,"Ing, Mecatronica",252,Si,Si,,,,,,FALSE,,
2021.1,1,6,20,179,55,Sagitario,M,Ing. Mecatrónica,248,Si,Si,,,,,,FALSE,,
2020.2,2,8,19,170,75,Piscis,M,Ing. Mecatronica,257,Si,Si,,,,,,FALSE,,
2020.1,,,45,150,49,Escorpio,F,,607,No,No,,,,,,FALSE,,
2020.2,2,2,17,163,47,piscis,M,Ciencia de la Computación,321,si,no,,,,,,FALSE,,
2020.1,2,3,18,181,97,Escorpio,M,Bioingenieria ,286,Sí,Sí,,,,,,FALSE,,
2021.1,3,3,18,183,89,Escorpio,M,Ing. Mecatrónica,269,Si,Si,,,,,,FALSE,,
2021.1,3,5,19,176,73,Piscis,M,Ing. Química,236,Si,Si,,,,,,FALSE,,
2020.1,1,3,17,180,81,Virgo,M,Ing. Mecatronica,250,Sí,No,,,,,,FALSE,,
2020.1,1,4,18,185,80,Geminis,M,Ciencia de la Computación,266,Sí,,,,,,,FALSE,,
2020.1,5,2,18,163,51,Leo,M,Ing. Ambiental,371,No,Si,,,,,,FALSE,,
2020.1,4,3,18,156,54,Capricornio,M,Ing. De la Energía,305.4,Si,Si,,,,,,FALSE,,
2020.1,2,3,17,182,79,Leo,M,Bioingenieria ,275,Si,Si,,,,,,FALSE,,
2020.2,1,6,20,176,74,Tauro,M,Ciencias de la Computación,357,Sí,Sí,,,,,,FALSE,,
2020.1,3,3,17,158,55,Géminis,F,Ing. Electrónica,283,No,No,,,,,,FALSE,,
2020.2,3,6,18,168,70,Capricornio ,M,Ing. Mecatrónica,270,Si,Si,,,,,,FALSE,,
2020.1,1,3,18,180,74,Cancer,M,Ing. Mecanica,266,Si,Si,,,,,,FALSE,,
2020.1,6,5,18,169,84,Cancer,M,Ing. Electrónica,290,Sí,Sí,,,,,,FALSE,,
2020.2,5,6,18,180,92,Piscis,M,Ing. Industrial,,Si,No,,,,,,FALSE,,
2020.1,3,3,18,164,75,acuario,M,ing. Mecatrónica,220,Si,Si,,,,,,FALSE,,
2021.1,1,4,19,164,57,Virgo,M,Ing. Mecatronica,270,Si,Si,,,,,,FALSE,,
2020.1,2,5,19,175,,Virgo,M,Ing. Industrial,,no,si,,,,,,FALSE,,
2020.1,1,3,17,165,58,Tauro,M,Ing. Química,270,No,Si,,,,,,FALSE,,
2020.2,3,4,18,170,58,Libra,M,Ciencias de la computacion,,,,,,,,,FALSE,,
2020.1,1,4,20,183,83,Cancer,M,Ing. Quimica,248,si,si,,,,,,FALSE,,
2020.2,2,2,19,155,50,Cáncer,F,Ing. Mecatrónica,,,,,,,,,FALSE,,
2020.2,4,3,18,164,64,Tauro,M,Ing. civil,222,Si,Si,,,,,,FALSE,,
2020.2,5,3,26,173,85,Piscis,M,Ing. Electronica,227,si,si,,,,,,FALSE,,
2020.1,4,3,22,180,75,Geminis,M,Ing. Mecánica,232,Sí,Sí,,,,,,FALSE,,
2021.1,1,5,18,173,64,Cancer,M,Bioingenieria,303,Si,Si,,,,,,FALSE,,
2020.1,2,3,17,186,78,Cancer,M,Ing. Mecatrónica,224,Sí,Sí,,,,,,FALSE,,
2020.1,3,3,17,160,55,Aries,F,Ing. Ambiental,455.6,No,Sí,,,,,,FALSE,,
2021.1,4,3,17,184,80,Acuario,M,Ing. Civil,269,No,Si,,,,,,FALSE,,
2020.1,3,3,18,165,60,Géminis,F,Ing. Mecatrónica,291,No,Sí,,,,,,FALSE,,
2021.1,2,3,19,171,62,Gemenis,M,Ing. Ambiental,271,si,si,,,,,,FALSE,,
2020.1,3,3,18,169,61,Aries,M,Ing. Electrónica,271,Sí,si,,,,,,FALSE,,
2020.1,1,4,18,177,80,Tauro,M,Bioingeniería,239,si,si,,,,,,FALSE,,
2021.1,3,3,18,162,58,Aries,F,Bioingeniería ,286,Si,Si,,,,,,FALSE,,
2021.1,1,5,24,170,76,Piscis,M,Ciencia de la Computación,263,Si,Si,,,,,,FALSE,,
2021.1,4,6,22,170,80,Geminis,M,Ciencia de la Computación,35, ,si,,,,,,FALSE,,
2020.2,3,4,18,170,60,Aries,M,Ing. Mecánica,331,Si,Si,,,,,,FALSE,,
2020.1,4,3,17,170,65,Aries,M,Ing. Mecánica,331,No,Sí,,,,,,FALSE,,
2020.1,3,3,17,165,55,Tauro,F,Ing. Energía,,No,No,,,,,,FALSE,,
2020.1,1,3,20,180,70,Tauro,M,Ing. Electrónica,491,No,No,,,,,,FALSE,,
2020.2,1,3,21,165,71,aries,M,ing.mecatronica,,si,si,,,,,,FALSE,,
