"Bodega","Distrito","Aforo","Productos","Ventas1","Ventas2","Ventas3","Ventas4"
"bacteriemia cebipero","Los Olivos",13,192,2464.13,2653.2,2613.85,2469.09
"barruntar carrocería","San Miguel",6,95,2966.76,2523.23,3020.46,2843.78
"náhuatle currículum vítae","Comas",3,34,2345.21,2551.27,2479.81,2950.5
"descordojo plagiario","San Juan de Lurigancho",4,64,2921.32,3408.79,3405.22,3430.79
"sacadilla acrisolador","San Martin de Porres",4,54,1048.45,803.83,1246.9,1426.92
"institucional multifocal","Los Olivos",7,122,1292.16,1543.31,1599.15,1547.43
"lechuguero adormecimiento","Puente Piedra",6,88,2933.53,3076.98,3126.79,2622.5
"sacrificar galorromance","Ate",6,94,3988.31,4920.26,4523.93,4672.37
"postulanta manguruyú","Comas",4,66,1863.46,1432.46,1939.38,1575.66
"deprimido enharinar","San Martin de Porres",2,41,3921.06,4611.09,4334.31,4764.08
"pereciendo pedimento","San Martin de Porres",3,48,2925.1,2673.03,2528.14,2526.58
"centrifugado muchiguar","San Martin de Porres",2,34,1148.56,883.99,1036.28,894.04
"prima facie arrimado","Villa María del Triunfo",2,20,3490.48,3879.54,3362.82,3713.28
"servilmente guilindajo","Ate",3,48,2499.4,1815.07,1785.81,1998.3
"neuroesqueleto devoniano","San Juan de Miraflores",9,172,3011.37,3540.99,3227.48,3793.16
"carrocín amazónico","San Martin de Porres",3,32,1390.07,1556.23,1062.86,1665.22
"presidencial desgañitarse","La Molina",2,34,5183.52,4732.26,4013.78,4613.18
"disyuntiva perjudicador","Independencia",10,157,5102.34,4828.2,4625.49,5390.62
"pretexta padrillo","Puente Piedra",6,92,1033.8,1098.28,834.11,863.13
"acristianado chanchiro","Rimac",3,48,1200.42,1388.44,1445.76,1315.02
"parcelario calífero","Rimac",3,36,2965.53,2248.25,2584.56,3099.78
"razonablemente tepeizcuinte","San Martin de Porres",5,75,1087.18,1011.53,757.96,1383.17
"cachavazo metimiento","Villa María del Triunfo",6,88,2105.13,1604.66,2046.96,2089.12
"sencillamente espinilla","Barranco",3,41,2581.75,2158,1881.29,2416.98
"geonomía fastidiar","Ate",8,131,2802.48,2881.86,2865.21,2498
"lordosis guadalajarense","Chorrillos",6,105,3222.23,3974.17,3794.75,3507.37
"magdalena oceanicultura","La Victoria",13,191,992.19,1386.98,1165.93,1108.7
"feligresía apostadamente","Breña",2,30,1145.79,720.77,1102.03,944.6
"enclavadura huelepega","Magdalena del Mar",7,103,4040.94,3922.86,3832.17,4546.91
"paraliticarse calvicie","Miraflores",2,39,5973.01,5813.62,5613.62,6243.95
"cobaltoterapia dinastismo","San Martin de Porres",6,90,2019.54,1864.73,1539.26,1306.27
"ruchique caballito","Puente Piedra",7,92,2302.64,2137.78,2229.36,1729.54
"esfumado truhanear","Magdalena del Mar",3,42,1236.76,1444.2,1266.73,1186.9
"forastero meditabundo","Santa Anita",7,113,3490.76,3526.68,3338.45,2533.8
"chunguearse boquiduro","Chorrillos",5,75,1355.34,1681.01,1700.38,1530.52
"descaimiento ucayalino","San Miguel",2,29,5981.13,5351,5367.15,5813.03
"sinsubstancia boleadora","Ate",13,221,1604.08,1701.79,1530.34,1431.58
"cencellada bragadura","Independencia",7,110,2131.58,2351.02,2643.62,2057.81
"musicómano estolidez","San Juan de Miraflores",3,40,3581.81,4032.16,4339.21,4099.52
"chiqueadores minimalista","Villa María del Triunfo",3,41,1740.61,1873.19,1913.32,2309.99
"indomesticable discusión","San Juan de Lurigancho",2,33,2924.59,2839.71,2341.41,2677.4
"azarandar cachafaz","Santa Anita",9,132,3196.34,2414.81,2829.24,3181.73
"poligáleo epistólico","San Juan de Lurigancho",12,184,4219.14,4649.39,4325.09,5185.96
"barbitaheño marroquinero","Villa María del Triunfo",8,128,3908.62,3802,3971.73,4549.05
"impositor granulocitosis","Los Olivos",4,56,2902.08,2500.08,2925.15,2890.27
"intermitencia sorprender","Santiago de Surco",3,52,3828.33,3518.85,4039.74,3241.04
"agalladura fosilífero","San Juan de Miraflores",13,198,2229.7,2466.31,3067.04,1903.51
"megarense emparrar","San Martin de Porres",6,98,3573.91,2629.68,2868.28,2639.15
"corralón sexólogo","Puente Piedra",2,20,2888.5,3577.99,3494.9,3637.86
"prudencialmente canonjible","Santa Anita",2,33,2424.97,2278.55,2225.47,2501.98
"inacentuado algecireño","La Molina",2,31,2104.19,3247.15,2391.95,2485.1
"concordable berenjenal","San Martin de Porres",6,82,2127.38,2702.65,2361.45,2284.31
"portrecho oncogénico","Puente Piedra",2,32,1155.62,1434.94,1053.02,1151.4
"blasfemador estantigua","Comas",2,31,2602.75,3065.88,2856.29,2428.34
"proporción ambientación","San Juan de Miraflores",11,162,3950.4,4034.92,3451.98,3342.42
"cuerezuelo conventual","Lince",9,149,1815.52,1345.88,1766.96,1643.3
"desmentido ermamiento","Comas",3,54,2216.65,2355.96,1756.34,2417.02
"travesear residencia","La Molina",8,116,2835.94,3547.73,4006.9,3114.79
"depredador calvatrueno","Chorrillos",6,98,3212.94,2625.05,3056.72,2450
"jorobeta utilizable","Santa Anita",3,43,1154.11,1084.98,971.06,798.85
"chichicaste desentoldar","San Juan de Lurigancho",9,137,3845.06,3751.99,3578.87,4418.77
"infrascripto acharolar","La Victoria",2,36,2180.38,1997.81,2483.6,2439.67
"belicosidad naranjilla","San Juan de Lurigancho",4,60,2208.69,2667.38,1862.01,2113.16
"patatero arterioso","San Martin de Porres",2,26,817.74,853.12,1063.17,1065.34
"andriana revuelvepiedras","San Martin de Porres",2,30,1117.11,1037.01,1519.23,1384.82
"jicarería desatiento","Villa María del Triunfo",5,89,4584.01,4707.46,3594.38,3813.1
"oronimia avestruz","Ate",13,191,1549.16,1578.88,1635.46,1396.65
"rampollo opúsculo","Santiago de Surco",4,68,5094.18,5407.75,5572.02,5217.64
"trifinio fanáticamente","San Juan de Lurigancho",5,64,2450.37,1950.01,1986.92,1519.1
"comisionar descomedidamente","San Juan de Lurigancho",5,77,897.58,1277.94,1211.85,1050.39
"vagabundeo cambustera","San Borja",3,36,2849.76,2405.66,2979.29,2613.43
"pluviómetro separado","Puente Piedra",11,147,3108.83,3313.2,2729.16,3247.93
"escudillo tronchado","Chorrillos",4,69,2440.11,2221.44,1895.31,1977.32
"servilleta melolonta","Ate",2,25,1813.71,1325.03,1761.28,1917.12
"transfijo embolismar","La Molina",10,154,3943.51,3609.82,3851.66,3670.04
"intervertebral formulista","Rimac",6,87,2622.04,2305.3,2621,2494.92
"sofocleo heredamiento","San Martin de Porres",6,103,2450.07,2421.47,2246.7,2674.3
"conllevar almorraja","Independencia",5,65,1117.49,979.81,1617.8,1791.71
"algodonal medrosía","San Juan de Lurigancho",3,51,2452.98,2467.49,2518.93,2827.33
"determinante consuntivo","San Martin de Porres",4,55,914.27,981.53,1219.82,784.83
"elástico albarrazado","Comas",13,197,3137.26,2507.46,3099.88,2821.28
"azaramiento estufador","La Victoria",3,49,1547.62,1142.26,1456.23,1036.11
"mortajar aliñamiento","San Juan de Lurigancho",7,114,5035.72,4678.36,5251.06,4083.99
"inclasificable escandio","Ate",7,92,1835.26,1496.84,1392.86,1356.46
"disidente eclosionar","La Molina",2,41,4078.66,4427.35,4029.89,3645.07
"suposición venturosamente","Magdalena del Mar",5,88,2031.69,1726.16,1811.77,1545.54
"agroalimentación cruciforme","Santa Anita",6,81,1053.22,830.71,1163.15,1143.37
"aquejoso siquiatría","Rimac",4,72,1769.61,1321.43,1343.24,1626.73
"suspender arregostarse","Chorrillos",9,126,2166.67,1589.17,2597.13,1878.53
"acondicionamiento trasmutable","Ate",2,35,1281.23,1676.57,978.17,1268.53
"yoltasca cacahuatal","Villa María del Triunfo",4,66,1043.67,1426.17,1253.78,1187.39
"indochino laríngeo","Comas",2,28,2003.68,2162.04,1823.83,1906.14
"empotrado cabalino","Rimac",6,84,1973.58,1864.28,1523.92,1964.8
"ecuánime eslabonar","Comas",3,37,1068.41,1215.46,1251.16,1090.74
"despapar suficiente","San Juan de Lurigancho",2,29,2770.27,2861.5,2824.22,3650.55
"bibliotecología resuello","San Juan de Lurigancho",2,25,4781.51,4476.81,4580.93,4611.66
"desesperar espadista","San Juan de Lurigancho",6,85,2490.77,NA,2930.7,3566.56
"radiogoniómetro tabiquero","Santa Anita",5,84,1448.79,928.73,1025.21,1048.26
"agarrotar filtrado","Jesús María",12,189,1636.11,1617.71,1399.89,1430.83
"apatusco aumentación","San Martin de Porres",8,118,3387.45,3146.55,3363.55,2562.89
"infaliblemente filatería","Chorrillos",7,107,2883.98,3576.79,3673.84,3623.06
"castillería pisciforme","Independencia",12,201,1243.56,1155.84,1080.57,1409.53
"cesaraugustano alfonsearse","San Miguel",6,91,1871.39,1881.75,2057.47,1925
"chocolateado relativista","Comas",3,34,4610,4140.11,4644.23,4329.95
"vitelino abigarramiento","Los Olivos",5,62,4905.86,4620.1,5002.71,4286.12
"atabardillado compartido","San Miguel",3,46,1788.34,1465.77,1908.73,1705.32
"gravímetro futurología","La Molina",3,38,2443.15,1982.48,2505.44,2538.9
"acebuche reimplantación","Ate",3,32,1683.27,1616.71,1552.11,1942.09
"pradejón disoluto","Comas",8,114,4524.62,4636.22,4213.5,4387.16
"laringología manantial","Santa Anita",7,103,2805.58,2563.92,3571.99,2888.88
"desbordamiento microbicida","Puente Piedra",3,40,2799.91,2768.8,3154.94,3507.12
"monoplaza raposino","Ate",13,177,947.01,851.18,1221.15,901.17
"santiscario sangacho","San Juan de Miraflores",3,37,1140.82,1333.29,931.15,999.54
"antipedagógico embarradura","San Juan de Lurigancho",9,128,1403.32,959.67,1158.27,1131.97
"fundición inmemorable","San Juan de Lurigancho",2,34,924.11,1263.74,902.73,601.71
"brillador cuarterón","Ate",2,43,2000.59,1693.15,1387.39,1942.25
"atarugar pernicie","Villa María del Triunfo",3,39,3017.09,3595.84,2763.76,2886.95
"hormiguesco esotérico","Rimac",8,119,2563.87,2564.25,2170.14,2843.22
"conirrostro jocundidad","Lince",3,50,2250.68,2542.84,2786.8,2486.46
"alambicar superbia","Ate",10,164,2418.87,2603.28,2509.84,2539.27
"infraorbitario demostrador","Ate",3,51,4144.26,4314.08,4014.93,3801.33
"hortelano violentamente","La Molina",12,167,2534.87,2372.67,2369.81,2217
"desconcertadamente usurpador","Ate",9,145,1301.62,1114.59,1420.79,1561.46
"sensatamente curaduría","San Juan de Lurigancho",3,31,2527.35,2790.31,3262.36,2939.35
"contracampo tranquilamente","La Molina",2,23,2255.62,2070.56,2633.54,2017.42
"corredero ampervuelta","Comas",13,186,756.61,1175.92,873.06,1106.74
"potreraje sartorial","San Juan de Miraflores",4,57,1264.68,1415.34,1270.79,1128.66
"significante pantruca","San Martin de Porres",7,97,2754.07,3237.36,3587.86,3024.06
"picotillo bobalicón","San Martin de Porres",9,126,1311.4,1464.14,1595.37,1520.71
"refringente bruscadera","Ate",3,43,2033.26,1820.56,2383,1553.21
"pretorial hidrocloruro","San Juan de Lurigancho",7,96,1737.89,1842.15,1994.78,1897.84
"emboticar algarrobal","Villa María del Triunfo",2,34,875.07,1383.38,1019.06,1138.74
"domingada sobrinazgo","San Juan de Miraflores",13,195,4705.42,5311.97,4834.96,4886.66
"centiárea repugnar","La Molina",7,112,3098.97,2664.06,2738.04,2555.35
"transiberiano pisoteada","San Martin de Porres",7,105,3238.4,2654.3,2925.31,3034.81
"borricón perpunte","Santa Anita",3,45,3438.18,2756.97,2821.37,2299.5
"venialmente floración","San Miguel",7,94,3348.82,3608.18,3051.66,2821.18
"sosegador horquillar","Villa María del Triunfo",3,51,1069.09,1236.59,1118.62,1525.82
"desvalijador artesanado","La Molina",6,87,3262.62,2867.01,2717.98,2688.66
"albarelo ayacaste","Puente Piedra",4,63,2131.16,1892.15,1579.3,2031.4
"guilladura santafesino","Independencia",5,67,1773.77,1497.35,2114.06,2622.49
"antiasmático paparrabias","San Martin de Porres",7,96,2106.84,1834.42,1463.24,1935.89
"chillante genetlíaco","Puente Piedra",8,112,2084.49,1955.49,1739.48,1817.32
"sinérgico sacadientes","Ate",2,37,1069.01,1403.45,1205.35,965.38
"sobreveste ensancha","San Juan de Miraflores",11,174,4147.66,4539.74,4927.18,5049.27
"contribución enredoso","Santiago de Surco",12,172,3609.28,4316.46,3811.31,3913.54
"desconcertante especiota","Comas",3,44,1108.94,883.8,896.3,1076.91
"empiolar refracción","Ate",4,62,2824.26,2323.36,2155.6,2389.81
"sobrepasar hidatidosis","San Borja",13,167,3270.58,3242.05,3578.45,3262.87
"señorial mitridatismo","Santiago de Surco",8,135,2981.09,2714.23,2792.04,2924.88
"suasorio indesignable","San Juan de Lurigancho",2,31,4920.11,4291.37,4755,3785.29
"ciclónico polemizar","San Juan de Lurigancho",5,81,3089.89,2614.02,2297.54,2607.44
"desencapar abrevadero","San Juan de Lurigancho",2,39,3017.92,3235.23,2902.22,3356.17
"barrearse extrauterino","Villa María del Triunfo",3,55,1077.35,1222.19,1189.53,976.28
"zoospora segureja","Santa Rosa",13,195,1893.72,1568.14,1975.13,2299.73
"decididamente chinastear","San Martin de Porres",5,82,3189.36,2634.38,2824.58,2903.36
"quebequés ligamentoso","Lince",8,107,1845.87,1682.98,1660.61,2375.17
"fandanguero traducción","Villa María del Triunfo",13,173,1896.32,1278.1,1402.27,1416.3
"purgable preselección","Santiago de Surco",6,103,2104.79,1741.12,2601.65,2721.08
"resolvente mañosear","El Agustino",10,155,1180.13,1236.25,1064.3,1018.99
"lombardo engalladura","Santiago de Surco",13,192,1582.55,1942.51,1555.56,1750.91
"desaliñado consistorialmente","Santiago de Surco",3,50,5155.5,5437.93,4696.96,5140.38
"saltatumbas taxodiáceo","Villa María del Triunfo",2,30,875.74,979.71,1180.53,1030.61
"reverendas undísono","Chorrillos",4,66,3589.52,3050.19,2762.37,3564.57
"ministrar mielínico","Rimac",5,63,1149.71,1275.79,911.74,1244.72
"ikurriña videoconsola","Ate",2,28,2041.06,2091.3,2164.16,2217.51
"matrilineal escalfarote","Villa María del Triunfo",4,59,806.56,984.61,1319.64,791.63
"argumentación antropófago","San Juan de Lurigancho",3,47,1305.99,1657.77,1460.27,1219.1
"obsequiosidad finlaísmo","Chorrillos",10,156,3470.25,4517.41,4824.65,4034.52
"esponjosidad acotación","Santiago de Surco",2,30,2118.78,2631.48,2161.86,2171.32
"concelebrada cafetero","San Martin de Porres",2,43,1700.94,1326.11,1271.51,1410.74
"heliograma estropiezo","Santiago de Surco",13,196,3401.44,2823.8,2945.47,3068.72
"trompazo dispensar","El Agustino",6,87,2470.92,2182.76,3538.4,2855.18
"partería bolivariano","Barranco",4,60,2150.08,2011.62,1840.66,2399.95
"bailarín parasanga","San Juan de Miraflores",13,188,4216.23,4321.35,3393.22,3242.7
"dendroide acotillo","La Molina",8,129,2528.74,3398.18,2775.4,3227.25
"entrevía piezómetro","San Juan de Lurigancho",9,149,2687.81,2160.06,2535.86,1888.47
"anillamiento pavonear","San Isidro",2,34,4300.69,3806.74,4334.87,4279.16
"retraimiento aballestar","Ate",13,223,1158.98,1082.86,1559.98,1388.34
"adondequiera encaramiento","Villa María del Triunfo",2,24,5714.35,4555.33,5073.2,5517.04
"chiriguano tajamiento","San Juan de Lurigancho",13,180,2188.65,1607.51,1775.57,1735.57
"perramenta polarización","Comas",13,195,2142.29,2507.52,2290.93,2403.66
"indisponer alcaptonuria","Independencia",2,33,4752.38,4909.34,4218.86,5160.7
"enrudecer degollina","Puente Piedra",3,55,2255.47,2090.43,2674.07,1886.44
"chirlido confortamiento","Chorrillos",5,79,3056.27,2689.74,2830.07,3282.85
"impulsor despaciosamente","Comas",13,216,1605.11,1898.3,1998.74,2009.23
"fijodalgo hidracina","La Victoria",6,101,2304.09,3081.05,2666.33,2911.21
"vinático costanilla","San Juan de Lurigancho",10,156,4325.28,4800.41,4500.11,4613.78
"condensable triquitraque","San Martin de Porres",3,44,2938.11,3455.84,3210.43,3458.99
"desreputación deselectrización","Los Olivos",4,59,1955.89,1659.26,1565.26,1893.88
"demonolatría solucionar","San Juan de Lurigancho",4,68,1145.17,1297.84,978,709.19
"abochornado enquiridión","San Martin de Porres",4,59,3234.38,3078.19,3395.36,3149.52
"reforestar almacenista","Rimac",8,149,3047.25,3157.77,2257.15,2519.61
"amazacotado atentación","Villa María del Triunfo",2,19,1246.23,1072.28,1373.18,958.03
"pensativo agobiador","Magdalena del Mar",6,82,3113.18,3264.65,3173.65,3181.57
"sabrosamente temporalizar","Comas",3,47,1542.19,2004.96,1718.49,1729.49
"hidrosilicato borcelano","Independencia",2,36,1748.62,1941.79,1440.25,1900.52
"percepto presidir","Santiago de Surco",13,164,3603.89,3918.07,3456.9,4124.45
"tormentila omnímodamente","Jesús María",5,70,1339.4,1612.63,2145.61,1364.75
"chisquero enfriadero","Rimac",7,100,1723.67,1924.23,1786.57,1504.72
"refulgir taqueado","Chorrillos",9,142,1986.55,2296.03,2125.17,2181.26
"submúltiplo canducho","Comas",13,204,5563.54,4524.29,6436.47,4788.17
"pululación extraordinariamente","Ate",2,25,2558.1,2670.04,2463.01,2438.83
"sangradura irreglamentable","Rimac",2,34,693.62,893.07,777.37,793.77
"correntino engolletarse","Comas",5,64,2581.79,1883.74,2291.33,2122.51
"cementar toponear","San Martin de Porres",9,117,2635.09,2223.12,2617.01,2587.26
"adormimiento desgranzar","Santa Anita",3,41,980.82,984.31,1315.62,1237.51
"instrucción aplacimiento","Los Olivos",6,91,1633.37,1985.79,1628.1,2042.83
"parafernales astillar","Villa María del Triunfo",13,177,1739.28,2125.5,2036.62,1799.39
"furriera proclamar","Chorrillos",5,86,2881.33,3328.17,4038.9,3787.32
"capucete alfalfez","El Agustino",2,33,1331.1,1091.71,922.55,1192.23
"filomela canciller","La Molina",2,40,3228.28,3900.8,3863.36,3805.36
"manipulación disolvente","Villa María del Triunfo",3,46,1580.38,1560.05,1784.17,2080.21
"leontina traspapelar","San Martin de Porres",7,120,1375.9,1343.95,1338.44,1347.89
"hidroplano embajatorio","Ate",2,28,3052.47,2985.9,3371.21,2608.26
"mariscador vosotros","Ate",8,132,1688.17,2129.63,1773.74,1701.7
"embalsamador adyuvante","Jesús María",5,76,1001.45,986.44,1028.15,913.37
"turbogenerador quevedesco","Comas",2,40,4738.67,5163.33,5977.08,4958.79
"adquisidor lobanillo","Los Olivos",5,67,4053.53,4920.92,3521.71,3683.5
"abominable mangangá","La Molina",6,82,2908.08,2241.62,2551.93,2414.12
"debilitación nestóreo","Rimac",3,36,1056.09,1827.16,1684.2,1539.97
"comunicante inconmensurable","San Martin de Porres",11,169,772.59,1275.36,911.32,977.52
"cordiaco coránico","Santiago de Surco",3,41,4612.45,3916.78,4247.27,4087.31
"empacada prefigurar","Santiago de Surco",3,46,2159.73,1838.83,2260.12,2057.75
"desareno alfanúmero","El Agustino",2,30,1810.08,1538.4,1251.02,1782.77
"fototipografía entrevenarse","San Juan de Lurigancho",2,29,1083.8,930.06,974.75,1236.17
"orientar decapitar","Santiago de Surco",7,104,5277.62,4406.34,4538.56,4702.19
"incógnito caracense","Puente Piedra",6,85,4847.03,4561.96,4736.42,5001.04
"faragual rosquero","San Isidro",7,113,2630.38,3368.04,2941.21,2385.34
"circadiano amelcochado","Rimac",3,53,2126.38,2257.86,1846.36,2219.85
"extrusor cum laude","San Martin de Porres",8,116,4470.77,5298.6,5114.33,4777.61
"pasamontañas borrachero","Rimac",2,23,3995.62,3743.95,3990.62,4184.26
"desmochadura fachinal","San Juan de Miraflores",9,132,5612.46,6060.33,6253.59,5532.55
"administración igualeza","Magdalena del Mar",8,118,1439.8,1159.91,1657.78,1499.91
"locomovible desinteresal","Chorrillos",8,131,2040.08,2153.21,2016.65,1856.13
"matasiete cachimbeado","San Juan de Lurigancho",3,51,3540.53,3208.01,3450.86,3684.53
"alcayata flamígero","San Martin de Porres",6,96,5653.1,5439.75,5292.11,5701.19
"delicaducho matancina","Chorrillos",2,44,2300.96,2117.1,2576.17,3035.21
"retacear apalancar","Santa Anita",13,199,3381.74,3764.49,3705.51,3857.67
"desacollar antidáctilo","Puente Piedra",4,58,1187.97,1238.67,1057.63,1149.51
"publicación agricultor","Santiago de Surco",8,115,2446.13,2555,2549.63,2701.33
"ciertamente acertante","Villa María del Triunfo",3,48,1146.29,1254.49,1300.69,754.24
"localizable remolimiento","Santa Anita",2,31,1352.53,1524.2,1011.41,1441.21
"aurígero talonada","El Agustino",8,114,1439.42,1024.03,1419.43,1626.44
"atlántico liguilla","San Borja",4,58,3308.53,3059.91,2904.39,2765.89
"cincoenrama manjorrada","San Martin de Porres",2,31,1036.56,1161.79,1132.47,1247.79
"inimaginable liberalización","Lince",7,104,1435.83,2369.18,1894.16,1793.91
"zucarino clorofila","Comas",13,213,2615.52,2554.69,2740.31,2155.19
"requemar recuesto","San Juan de Lurigancho",2,28,1108.25,1426.41,1089.85,1070.32
"alcurnia compilación","Magdalena del Mar",13,205,2708.39,2532.62,2200.14,2805.67
"encovado esposado","Santa Anita",13,227,5630.01,4328.33,4897.29,4624.75
"enjalbegado arisnegro","Ate",13,184,2271.73,1633.25,1861.17,2419.54
"perentoriedad cuartogénito","San Juan de Lurigancho",13,193,1624.22,1748.16,1525.17,1587.4
"farandúlico yodación","San Borja",13,177,2101.05,1818.29,2410.5,2011.37
"rapóntico pluralista","Miraflores",2,24,2432.9,2364.62,1974.82,2714
"cajetilla interlocutorio","Santiago de Surco",8,129,3439.53,3434.42,3789.1,3688.27
"efeminado jesuitismo","Rimac",11,190,3679.3,3735.2,3887,3933.7
"remudamiento fotogenia","San Martin de Porres",3,36,1315.46,1270.71,1138.45,807.48
"sicomoro herbívoro","Puente Piedra",6,91,1600.83,1333.67,1278.29,1256.51
